"Agent (0 =A, 1 =B)"	Iterations	BitsPerObservation	"TimePerIt (0=normal, 1=extended)"	"Memory (0=normal, 1=extended)"	Score
1	12	23	0	0	84.84239
1	9	42	1	0	12.94409
1	9	18	0	0	50.10342
1	12	21	0	0	93.71037
1	8	21	0	0	42.79613
1	9	22	0	0	34.62564
1	4	31	0	0	73.82549
1	12	29	0	0	109.7651
1	10	19	0	0	138.2962
1	11	19	1	1	67.88463
1	9	31	0	0	95.58501
1	10	22	1	0	132.2828
1	9	21	0	0	7.436666
1	10	17	0	0	55.22788
1	12	26	1	0	14.24944
1	9	20	0	1	13.58643
1	10	26	0	0	6.728773
1	12	22	1	1	100.9283
1	11	33	0	0	62.81433
1	12	22	0	0	125.9071
1	10	29	0	1	51.12014
1	12	33	1	0	159.526
1	14	25	1	0	366.4695
1	9	35	1	0	128.0397
1	8	35	1	0	37.86628
1	11	33	1	0	41.81942
0	12	30	1	0	255.6467
0	12	26	1	0	255.6467
0	16	25	1	0	255.6467
0	11	42	1	0	154.9101
0	9	37	1	0	178.332
0	12	32	1	0	141.4628
0	12	20	0	0	177.6523
0	10	39	1	0	44.3318
0	5	41	1	0	194.5131
0	14	31	1	0	220.9497
0	8	34	1	0	54.86799
0	12	29	1	0	64.20722
0	14	22	1	0	182.0855
0	0	42	1	1	99.22934
0	9	25	0	1	75.39361
0	9	28	1	0	154.0678
0	13	40	1	0	119.1195
0	9	35	1	0	110.8738
0	10	27	1	1	170.2341
0	6	27	1	1	56.61171
0	12	36	1	0	219.0582
0	11	40	1	0	255.6467
0	7	27	1	0	111.4945
0	6	39	1	1	250.4894
0	9	21	1	0	12.13214
0	13	22	0	1	94.53017
0	10	25	1	0	116.8882
0	12	27	1	0	78.06829
0	8	45	1	0	159.3137
0	12	26	1	0	28.38713
0	12	27	1	0	140.384
0	8	33	1	0	255.1443
0	12	25	1	0	41.62756
0	8	49	1	0	75.03896
0	3	40	1	1	121.0406
0	12	22	1	0	22.31367
0	5	25	1	0	146.1767
0	12	25	1	0	195.8874
0	12	21	1	0	107.4603
0	9	33	1	1	255.6467
0	11	19	1	0	8.37871
0	12	25	1	0	4.610507
0	12	29	1	0	242.9087
0	12	20	1	0	66.80802
0	6	29	1	1	71.96528
0	13	25	1	0	130.1582
0	15	41	1	0	246.47
0	10	39	1	0	255.6467
0	12	33	1	0	29.36243
0	8	29	1	0	205.7586
0	11	21	1	0	109.2335
0	12	31	1	0	224.0381
0	12	36	1	0	72.15739
0	7	25	1	0	1.226513
0	7	35	1	0	151.7773
0	9	22	1	0	47.42025
0	2	31	1	1	97.32307
0	15	40	1	0	62.38962
0	3	47	1	0	61.45865
0	8	26	0	1	111.3615
0	7	42	1	0	92.41702
0	12	53	0	0	199.6556
0	17	30	0	0	144.2113
0	10	28	1	0	102.8941
0	12	28	0	0	216.0288
0	12	27	1	1	255.6467
0	10	25	1	0	124.1881
0	12	26	0	1	41.81966
0	8	38	1	1	87.20065
0	17	23	0	0	167.4708
0	8	23	1	0	27.82559
0	12	23	1	0	140.65
0	12	25	1	1	3.797757
0	15	25	1	0	127.0549
0	12	40	1	0	218.5705
0	10	19	0	0	1.359508
0	10	29	1	0	77.81708
0	16	30	0	0	155.3829
0	11	22	1	0	106.4259
0	10	22	0	0	24.53026
0	10	47	1	0	193.3014
0	12	25	1	1	30.20473
0	10	47	0	0	194.3802
0	12	28	0	0	73.14747
0	11	47	0	0	33.58873
0	0	50	1	0	2.201813
0	12	18	0	0	89.57978
0	12	21	0	0	16.87564
0	11	47	1	0	173.5885
0	12	21	0	0	59.37505
0	11	34	1	0	181.3318
0	12	19	1	0	10.66919
0	13	44	1	0	31.04704
0	12	20	0	0	127.1879
0	11	51	0	0	15.25014
0	13	28	0	0	92.53524
0	11	20	1	0	110.7556
0	12	29	1	0	81.33407
0	12	23	1	0	38.18445
0	11	20	0	0	54.95665
0	7	42	1	0	98.56436
0	12	43	1	0	187.819
0	13	27	0	0	53.44937
0	4	27	1	1	33.67739
0	12	25	1	0	79.81201
0	12	18	0	0	126.0205
0	16	31	1	0	255.6467
0	12	27	1	0	72.4086
0	11	18	0	0	158.1463
0	12	23	1	0	55.35564
0	12	50	1	0	185.9719
0	12	19	0	0	154.3633
0	10	23	1	0	63.98556
0	12	51	1	0	160.156
0	11	19	0	0	0.945745
0	10	20	1	0	211.4183
0	11	20	0	1	74.0341
0	10	39	1	0	187.6122
0	5	36	0	0	27.51527
0	9	19	0	0	143.4429
0	6	42	1	1	19.07745
0	7	20	0	0	60.98578
0	12	18	0	0	121.2031
0	8	43	1	0	63.95601
0	14	37	1	0	134.2958
0	10	24	1	0	21.73736
0	12	51	0	0	10.19631
0	11	22	0	1	141.8765
0	12	19	0	0	71.18209
0	12	21	0	0	47.87834
0	8	35	1	0	94.60406
0	7	17	0	0	16.13677
0	10	18	0	0	81.54095
0	12	28	0	0	73.10313
0	14	25	1	1	18.92968
0	12	40	0	1	8.762919
0	3	50	1	0	139.7634
0	8	48	1	0	116.0015
0	7	17	0	1	64.60621
0	12	30	1	0	144.7581
0	7	30	1	0	3.664762
0	12	27	1	0	134.1924
0	9	25	1	0	18.98879
0	14	21	0	0	63.8969
0	10	17	0	0	199.9364
0	7	39	0	0	92.06237
0	9	18	0	0	8.038833
0	12	25	1	0	10.37364
0	11	19	0	0	98.53481
0	12	22	0	0	255.6467
0	11	18	0	0	202.4338
0	10	21	0	0	76.75312
0	12	24	1	0	32.6282
0	11	18	0	0	124.8975
0	10	17	0	0	62.31573
0	10	17	0	0	78.43773
0	10	18	0	0	2.37914
0	10	53	0	1	131.7098
0	11	18	0	0	36.83972
0	10	17	0	1	69.18716
0	5	39	1	0	183.2381
0	12	18	0	0	30.57416
0	13	23	0	0	49.75505
0	8	18	0	0	67.56166
0	10	28	1	0	24.04261
0	11	18	0	0	0.3398771
0	14	21	0	0	169.6726
0	10	29	0	1	66.94101
0	18	36	1	0	182.2776
0	12	45	1	0	79.87112
0	10	16	0	0	68.47785
0	12	18	0	0	22.32845
0	12	40	0	1	38.73121
0	9	16	0	0	24.51548
0	10	16	0	0	55.78418
0	5	28	1	1	2.393917
0	12	20	0	0	155.5455
0	8	19	1	0	53.27204
0	8	16	0	0	5.423257
0	10	35	1	0	17.45195
0	9	17	0	0	89.00347
0	7	16	0	0	47.28725
0	15	32	0	0	76.84178
0	12	19	0	0	120.5973
0	12	40	1	0	177.1794
0	8	18	0	1	13.0631
0	10	39	0	0	7.019201
0	11	17	0	1	77.59542
0	12	19	0	0	25.87499
0	15	27	0	0	33.9286
0	11	18	0	0	79.33914
0	14	20	1	0	14.54083
0	12	20	1	0	136.8375
0	13	19	0	0	90.6733
0	8	24	1	0	23.40719
0	9	19	0	0	56.47871
0	10	16	0	1	38.92332
0	12	18	0	1	48.43988
0	14	21	0	0	22.56488
0	7	18	0	0	6.428111
0	9	39	0	0	57.5279
0	13	32	1	0	153.5358
0	9	16	0	0	41.12513
0	7	16	0	0	62.10885
0	9	21	0	0	12.23558
0	12	22	1	0	142.8962
0	11	23	1	1	47.76012
0	8	21	1	0	88.44194
0	12	24	1	0	85.47171
0	12	24	1	0	12.738
0	9	16	0	0	37.07616
0	8	20	1	0	55.51819
0	8	42	0	0	141.1672
0	8	17	0	1	188.9126
0	8	19	0	1	185.1
0	9	17	0	0	0.5467588
0	14	21	0	0	76.98955
0	9	16	0	0	39.83951
0	13	23	0	0	5.822243
0	9	16	0	0	17.25985
0	11	17	0	1	51.73521
0	10	32	1	0	82.45714
0	11	18	0	0	75.03896
0	10	18	1	0	140.5318
0	7	16	0	0	61.45865
0	7	26	1	0	6.501997
0	10	16	0	0	21.36793
0	10	17	0	0	64.23677
0	10	17	0	0	14.83637
0	12	29	1	0	94.73705
0	10	17	0	0	103.0123
0	8	49	1	0	149.6346
0	10	20	1	0	153.6392
0	10	19	0	0	6.75321
0	11	18	0	0	14.21573
0	8	22	1	0	2.098372
0	12	31	1	0	110.2384
0	11	20	1	0	62.80338
0	11	17	0	1	19.13656
0	12	50	1	0	255.6467
0	14	49	1	0	255.6467
0	9	47	1	0	255.6467
0	8	22	1	0	9.590445
0	12	27	1	0	125.9319
0	10	30	1	0	115.6321
0	12	52	1	0	255.6467
0	12	43	1	0	168.6086
0	13	35	0	0	112.6914
0	12	45	1	0	121.0849
0	11	22	1	0	90.88018
0	12	22	1	0	33.42618
0	11	23	1	0	41.83444
0	12	34	0	0	60.3208
0	11	22	0	0	57.48356
0	12	31	0	0	40.9478
0	12	19	0	0	21.60436
0	10	24	1	0	50.40525
0	9	20	1	0	158.9295
0	11	35	1	0	219.6345
0	12	23	0	0	163.2445
0	10	29	0	0	2.512135
0	9	24	1	0	8.186605
0	8	45	0	0	0.3103226
0	13	21	0	1	176.278
0	13	29	1	0	143.3986
0	15	21	0	0	17.17118
0	16	22	0	0	1.167404
0	12	24	1	0	24.48593
0	14	20	0	0	28.13591
0	6	19	0	0	149.9892
0	9	19	0	1	33.72172
0	13	20	0	0	9.13235
0	5	26	1	0	37.00227
0	9	26	0	1	28.62356
0	9	20	0	1	126.1831
0	10	20	0	0	62.90682
0	12	39	1	0	12.02869
0	9	17	0	0	4.226298
0	8	28	1	0	195.1633
0	12	19	0	1	89.23991
0	9	16	1	0	159.9787
0	10	17	0	0	94.3824
0	12	24	0	0	22.84565
0	11	19	0	0	34.0616
0	5	50	1	0	91.66338
0	11	18	0	0	77.22599
0	7	16	0	1	75.15717
0	11	21	1	0	67.08879
0	12	37	0	0	8.777696
0	8	16	0	0	25.59422
0	10	18	0	0	22.8161
0	9	16	0	0	21.58959
0	14	26	0	0	67.17745
0	9	20	0	0	60.838
0	11	46	1	0	28.2098
0	8	17	0	0	127.6017
0	9	16	0	0	49.74028
0	10	30	1	0	31.51991
0	12	33	1	1	58.41453
0	12	34	1	0	187.1688
0	13	21	0	0	179.4108
0	4	31	0	1	11.61493
0	12	19	0	1	185.7355
0	12	20	0	0	115.9424
0	11	19	0	0	164.8552
0	11	18	0	0	71.46286
0	9	16	1	1	68.21186
0	12	38	1	0	187.5678
0	8	34	1	0	26.64341
0	14	48	1	0	72.36427
0	9	16	0	0	64.94608
0	8	17	0	0	45.20366
0	14	27	0	0	101.2243
0	8	37	0	0	6.48722
0	10	17	0	0	10.53619
0	12	48	1	0	14.91026
0	10	16	0	0	17.30418
0	12	23	0	0	39.02676
0	10	17	0	0	149.4277
0	16	42	0	0	237.648
0	10	18	0	0	53.06516
0	10	17	1	0	38.59822
0	8	16	0	1	122.4296
0	12	27	1	0	15.3388
0	2	39	1	0	9.649555
0	9	16	0	0	55.51819
0	10	27	0	0	75.43794
0	11	18	0	0	101.505
0	1	24	1	1	194.6461
0	5	32	1	0	1.876713
0	9	16	0	0	14.95459
